127.0.0.1 - - [13/Apr/2022:16:10:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:01 +0900] "GET /mvc/ HTTP/1.1" 200 13053
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:01 +0900] "GET /mvc/resources/js/sb-admin-2.min.js HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:01 +0900] "GET /mvc/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84384
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:01 +0900] "GET /mvc/resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59348
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:01 +0900] "GET /mvc/resources/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:01 +0900] "GET /mvc/resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:01 +0900] "GET /mvc/resources/css/sb-admin-2.min.css HTTP/1.1" 200 170746
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:02 +0900] "GET /mvc/resources/upload/profileUpload/default_profile.jpg HTTP/1.1" 200 22233
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:03 +0900] "GET /mvc/resources/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:09 +0900] "GET /mvc/member/login HTTP/1.1" 200 4287
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:09 +0900] "GET /mvc/resources/css/login.css HTTP/1.1" 200 2962
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:10 +0900] "GET /mvc/resources/js/jquery-3.6.0.js HTTP/1.1" 200 299461
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:21 +0900] "GET /mvc/member/joinTerms HTTP/1.1" 200 42623
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:21 +0900] "GET /mvc/resources/css/joinTerms.css HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:42 +0900] "GET /mvc/member/enroll HTTP/1.1" 200 12573
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:42 +0900] "GET /mvc/resources/css/enroll.css HTTP/1.1" 200 3959
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:11:42 +0900] "GET /mvc/resources/js/enroll.js HTTP/1.1" 200 2347
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:12:05 +0900] "POST /mvc/member/idCheck HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:12:56 +0900] "POST /mvc/member/enroll HTTP/1.1" 500 14434
0:0:0:0:0:0:0:1 - - [13/Apr/2022:16:13:08 +0900] "GET /mvc/member/enroll HTTP/1.1" 200 12573
